x, y, z
-0.606825, -0.600525, -0.520705
-0.606825, -0.600525, -0.520705
-0.606825, -0.600525, -0.520705
-0.606825, -0.600525, -0.520705
-0.606825, -0.600525, -0.520705
-0.606825, -0.600525, -0.520705
-0.519258, -0.574779, -0.632456
-0.519258, -0.574779, -0.632456
-0.519258, -0.574779, -0.632456
-0.519258, -0.574779, -0.632456
-0.519258, -0.574779, -0.632456
-0.519258, -0.574779, -0.632456
-0.62024, -0.479201, -0.621023
-0.62024, -0.479201, -0.621023
-0.62024, -0.479201, -0.621023
-0.62024, -0.479201, -0.621023
-0.62024, -0.479201, -0.621023
-0.62024, -0.479201, -0.621023
-0.5, -0.688191, -0.525731
-0.5, -0.688191, -0.525731
-0.5, -0.688191, -0.525731
-0.5, -0.688191, -0.525731
-0.5, -0.688191, -0.525731
-0.5, -0.688191, -0.525731
-0.702046, -0.501375, -0.505721
-0.702046, -0.501375, -0.505721
-0.702046, -0.501375, -0.505721
-0.702046, -0.501375, -0.505721
-0.702046, -0.501375, -0.505721
-0.702046, -0.501375, -0.505721
-0.525731, -0.447214, -0.723607
-0.525731, -0.447214, -0.723607
-0.525731, -0.447214, -0.723607
-0.525731, -0.447214, -0.723607
-0.525731, -0.447214, -0.723607
-0.525731, -0.447214, -0.723607
-0.601501, -0.687976, -0.406061
-0.601501, -0.687976, -0.406061
-0.601501, -0.687976, -0.406061
-0.601501, -0.687976, -0.406061
-0.601501, -0.687976, -0.406061
-0.601501, -0.687976, -0.406061
-0.386187, -0.671461, -0.632456
-0.386187, -0.671461, -0.632456
-0.386187, -0.671461, -0.632456
-0.386187, -0.671461, -0.632456
-0.386187, -0.671461, -0.632456
-0.386187, -0.671461, -0.632456
-0.70231, -0.592161, -0.395103
-0.70231, -0.592161, -0.395103
-0.70231, -0.592161, -0.395103
-0.70231, -0.592161, -0.395103
-0.70231, -0.592161, -0.395103
-0.70231, -0.592161, -0.395103
-0.399607, -0.550012, -0.733349
-0.399607, -0.550012, -0.733349
-0.399607, -0.550012, -0.733349
-0.399607, -0.550012, -0.733349
-0.399607, -0.550012, -0.733349
-0.399607, -0.550012, -0.733349
-0.711282, -0.36954, -0.597928
-0.711282, -0.36954, -0.597928
-0.711282, -0.36954, -0.597928
-0.711282, -0.36954, -0.597928
-0.711282, -0.36954, -0.597928
-0.711282, -0.36954, -0.597928
-0.62024, -0.341154, -0.70634
-0.62024, -0.341154, -0.70634
-0.62024, -0.341154, -0.70634
-0.62024, -0.341154, -0.70634
-0.62024, -0.341154, -0.70634
-0.62024, -0.341154, -0.70634
-0.383614, -0.762697, -0.520705
-0.383614, -0.762697, -0.520705
-0.383614, -0.762697, -0.520705
-0.383614, -0.762697, -0.520705
-0.383614, -0.762697, -0.520705
-0.383614, -0.762697, -0.520705
-0.46843, -0.784658, -0.406061
-0.46843, -0.784658, -0.406061
-0.46843, -0.784658, -0.406061
-0.46843, -0.784658, -0.406061
-0.46843, -0.784658, -0.406061
-0.46843, -0.784658, -0.406061
-0.783843, -0.392638, -0.481067
-0.783843, -0.392638, -0.481067
-0.783843, -0.392638, -0.481067
-0.783843, -0.392638, -0.481067
-0.783843, -0.392638, -0.481067
-0.783843, -0.392638, -0.481067
-0.792649, -0.481533, -0.373943
-0.792649, -0.481533, -0.373943
-0.792649, -0.481533, -0.373943
-0.792649, -0.481533, -0.373943
-0.792649, -0.481533, -0.373943
-0.792649, -0.481533, -0.373943
-0.688191, -0.67082, -0.276393
-0.688191, -0.67082, -0.276393
-0.688191, -0.67082, -0.276393
-0.688191, -0.67082, -0.276393
-0.688191, -0.67082, -0.276393
-0.688191, -0.67082, -0.276393
-0.399607, -0.409955, -0.819909
