x, y, z
-1, 3.50347e-08, 0
-0.850651, -0.276393, -0.447214
-0.850651, 0.276393, 0.447214
-0.809017, -0.587785, 0
-0.809017, -0.262865, 0.525731
-0.809017, -0.587785, 0
-0.809017, -0.262865, 0.525731
-0.809017, -0.587785, 0
-0.809017, -0.262865, 0.525731
-0.809017, -0.587785, 0
-0.809017, 0.262866, -0.525731
-0.809017, 0.587785, 0
-0.809017, 0.262866, -0.525731
-0.809017, 0.587785, 0
-0.809017, 0.262866, -0.525731
-0.809017, 0.587785, 0
-0.525731, -0.723607, 0.447214
-0.525731, 0.723607, -0.447214
-0.5, -0.688191, -0.525731
-0.5, -0.16246, -0.850651
-0.5, -0.688191, -0.525731
-0.5, -0.16246, -0.850651
-0.5, -0.688191, -0.525731
-0.5, -0.16246, -0.850651
-0.5, -0.688191, -0.525731
-0.5, -0.16246, -0.850651
-0.5, -0.688191, -0.525731
-0.5, 0.16246, 0.850651
-0.5, 0.688191, 0.525731
-0.309017, -0.425325, 0.850651
-0.309017, -0.951056, 0
-0.309017, -0.425325, 0.850651
-0.309017, -0.951056, 0
-0.309017, 0.425325, -0.850651
-0.309017, 0.951057, 0
-0.309017, 0.425325, -0.850651
-0.309017, 0.951057, 0
-1.75174e-07, -0.850651, 0.525731
0, 0, 1
0, 0, 1
0, 0, 1
0, 0, 1
