x1, y1, z1, x2, y2, z2
0, 0, 1, 2.61159e-09, 0.0345915, 0.999402
0, 0, 1, -0.0328985, 0.0106894, 0.999402
2.61159e-09, 0.0345915, 0.999402, -0.0328985, 0.0106894, 0.999402
0, 0, -1, -0.0203324, 0.0279851, -0.999402
0, 0, -1, -0.0328985, -0.0106894, -0.999402
-0.0203324, 0.0279851, -0.999402, -0.0328985, -0.0106894, -0.999402
6.75274e-08, 0.894427, 0.447214, -0.0203323, 0.906407, 0.421915
6.75274e-08, 0.894427, 0.447214, -0.0328984, 0.889112, 0.456507
-0.0203323, 0.906407, 0.421915, -0.0328984, 0.889112, 0.456507
-0.525731, 0.723607, -0.447214, -0.549222, 0.721348, -0.421915
-0.525731, 0.723607, -0.447214, -0.549222, 0.699969, -0.456507
-0.549222, 0.721348, -0.421915, -0.549222, 0.699969, -0.456507
0, 0, 1, -0.0328985, 0.0106894, 0.999402
0, 0, 1, -0.0203324, -0.0279851, 0.999402
-0.0328985, 0.0106894, 0.999402, -0.0203324, -0.0279851, 0.999402
0, 0, -1, -0.0328985, -0.0106894, -0.999402
0, 0, -1, 4.12499e-10, -0.0345915, -0.999402
-0.0328985, -0.0106894, -0.999402, 4.12499e-10, -0.0345915, -0.999402
-0.850651, 0.276393, 0.447214, -0.868328, 0.260758, 0.421915
-0.850651, 0.276393, 0.447214, -0.855762, 0.243462, 0.456507
-0.868328, 0.260758, 0.421915, -0.855762, 0.243462, 0.456507
-0.850651, -0.276393, -0.447214, -0.855762, -0.299432, -0.421915
-0.850651, -0.276393, -0.447214, -0.835429, -0.306039, -0.456507
-0.855762, -0.299432, -0.421915, -0.835429, -0.306039, -0.456507
0, 0, 1, -0.0203324, -0.0279851, 0.999402
0, 0, 1, 0.0203324, -0.0279851, 0.999402
-0.0203324, -0.0279851, 0.999402, 0.0203324, -0.0279851, 0.999402
0, 0, -1, 4.12499e-10, -0.0345915, -0.999402
0, 0, -1, 0.0328985, -0.0106894, -0.999402
4.12499e-10, -0.0345915, -0.999402, 0.0328985, -0.0106894, -0.999402
-0.525731, -0.723607, 0.447214, -0.516324, -0.74525, 0.421915
-0.525731, -0.723607, 0.447214, -0.495991, -0.738643, 0.456507
-0.516324, -0.74525, 0.421915, -0.495991, -0.738643, 0.456507
1.06659e-08, -0.894427, -0.447214, 0.0203324, -0.906407, -0.421915
1.06659e-08, -0.894427, -0.447214, 0.0328985, -0.889112, -0.456507
0.0203324, -0.906407, -0.421915, 0.0328985, -0.889112, -0.456507
0, 0, 1, 0.0203324, -0.0279851, 0.999402
0, 0, 1, 0.0328985, 0.0106894, 0.999402
0.0203324, -0.0279851, 0.999402, 0.0328985, 0.0106894, 0.999402
0, 0, -1, 0.0328985, -0.0106894, -0.999402
0, 0, -1, 0.0203324, 0.0279851, -0.999402
0.0328985, -0.0106894, -0.999402, 0.0203324, 0.0279851, -0.999402
0.525731, -0.723607, 0.447214, 0.549222, -0.721348, 0.421915
0.525731, -0.723607, 0.447214, 0.549222, -0.699969, 0.456507
0.549222, -0.721348, 0.421915, 0.549222, -0.699969, 0.456507
0.850651, -0.276393, -0.447214, 0.868328, -0.260758, -0.421915
0.850651, -0.276393, -0.447214, 0.855762, -0.243462, -0.456507
0.868328, -0.260758, -0.421915, 0.855762, -0.243462, -0.456507
0, 0, 1, 0.0328985, 0.0106894, 0.999402
0, 0, 1, 4.81067e-09, 0.0345915, 0.999402
0.0328985, 0.0106894, 0.999402, 4.81067e-09, 0.0345915, 0.999402
0, 0, -1, 0.0203324, 0.0279851, -0.999402
0, 0, -1, -0.0203324, 0.0279851, -0.999402
0.0203324, 0.0279851, -0.999402, -0.0203324, 0.0279851, -0.999402
0.850651, 0.276393, 0.447214, 0.855762, 0.299432, 0.421915
0.850651, 0.276393, 0.447214, 0.835429, 0.306039, 0.456507
0.855762, 0.299432, 0.421915, 0.835429, 0.306039, 0.456507
0.525731, 0.723607, -0.447214, 0.516324, 0.74525, -0.421915
0.525731, 0.723607, -0.447214, 0.495991, 0.738644, -0.456507
0.516324, 0.74525, -0.421915, 0.495991, 0.738644, -0.456507
3.96916e-08, 0.525731, 0.850651, 4.18894e-08, 0.554842, 0.831956
3.96916e-08, 0.525731, 0.850651, -0.0333964, 0.542883, 0.839144
4.18894e-08, 0.554842, 0.831956, -0.0333964, 0.542883, 0.839144
-0.5, 0.688191, 0.525731, -0.527686, 0.667447, 0.525416
-0.5, 0.688191, 0.525731, -0.505993, 0.661324, 0.553734
-0.527686, 0.667447, 0.525416, -0.505993, 0.661324, 0.553734
3.96916e-08, 0.525731, 0.850651, -0.0333964, 0.542883, 0.839144
3.96916e-08, 0.525731, 0.850651, -0.0333963, 0.507768, 0.860846
-0.0333964, 0.542883, 0.839144, -0.0333963, 0.507768, 0.860846
-0.309017, 0.425325, -0.850651, -0.326128, 0.448876, -0.831956
-0.309017, 0.425325, -0.850651, -0.346117, 0.419572, -0.839144
-0.326128, 0.448876, -0.831956, -0.346117, 0.419572, -0.839144
-0.809017, 0.262866, -0.525731, -0.819222, 0.22981, -0.525416
