x, y, z
0.220117, -0.75225, 0.621023
-0.346153, -0.0271543, 0.937785
0.346153, 0.0271544, -0.937785
0.783843, -0.392638, -0.481067
0.757936, 0.637147, 0.139919
-0.571252, 0.562275, -0.597928
-0.564254, -0.0967771, 0.819909
0.757935, 0.159793, -0.632456
0.156434, 0.441708, -0.883415
0.587785, 0.361803, -0.723607
-0.0810863, -0.935787, -0.343115
-0.707107, 0.316228, -0.632456
0.301259, -0.91824, 0.257056
-0.647412, -0.441801, 0.621023
0.780204, -0.484949, 0.395103
-0.513375, 0.846658, 0.140057
0.966393, -0.00276233, -0.257056
0.780204, -0.484949, 0.395103
0.758652, -0.64084, 0.117349
-0.564254, 0.776629, 0.280114
0.237086, -0.326321, 0.915043
-0.915043, 0.212056, 0.343115
0.864929, -0.366292, -0.343115
0.966393, 0.00276223, 0.257056
0.850651, 0.447214, -0.276393
0.783843, 0.254686, 0.566326
-0.0811417, 0.989761, 0.11743
0.237086, 0.326321, -0.915043
6.26928e-09, -0.525731, -0.850651
0.137952, -0.842518, 0.520705
-0.646578, -0.749881, -0.140057
-0.702046, -0.228109, -0.674609
0.951057, -0.138197, 0.276393
-0.571252, -0.78626, 0.235512
0.213023, -0.902656, -0.373943
0.1312, -0.0426296, -0.990439
0.296005, -0.181495, 0.937785
-0.792649, -0.119117, -0.597928
-0.238677, -0.554905, 0.79694
-0.1312, 0.0426296, 0.990439
-0.688191, -0.67082, -0.276393
0.484442, -0.666777, 0.566326
0.453991, 0.891006, 0
-0.0823234, 0.986715, -0.140057
0.62024, -0.479201, -0.621023
-0.262866, -0.361803, -0.894427
-0.484442, 0.666777, -0.566326
0.525731, -0.723607, 0.447214
1.06659e-08, -0.894427, -0.447214
-0.862669, -0.449186, -0.232454
-0.516122, -0.48446, 0.70634
0.601501, 0.687976, 0.406061
0.69378, -0.512752, 0.505721
-0.301259, 0.640567, -0.70634
-0.160622, -0.221077, 0.961938
-1.43467e-07, -0.679852, 0.733349
-0.606825, 0.197169, 0.769992
-0.757936, -0.159793, 0.632456
0.571252, 0.786261, -0.235512
0.358229, -0.717045, 0.597928
0.371748, -0.917729, -0.139919
-0.220117, 0.891876, -0.395103
-1.43467e-07, -0.679852, 0.733349
0.862669, 0.449186, 0.232454
-0.0811419, -0.337602, 0.937785
0.262866, 0.638197, 0.723607
0.961938, 0.143665, 0.232454
-0.783452, 0.565797, 0.257056
0.69378, -0.68164, 0.232454
-0.916244, -0.383023, -0.11743
0.516122, 0.48446, -0.70634
-0.238677, 0.960966, -0.139919
-0.264083, -0.737964, -0.621023
-0.346153, 0.0271544, -0.937785
-0.646578, 0.749881, 0.140057
-0.399607, -0.409955, -0.819909
-0.862669, -0.00703143, -0.505721
-0.840178, 0.359465, -0.406061
0.843911, -0.523491, -0.117349
-0.757935, 0.637147, 0.139919
0.237086, -0.964375, -0.117349
-0.399607, 0.550012, 0.733349
0.571252, -0.786261, 0.235512
-0.780204, -0.484948, 0.395103
0.862669, 0.449186, 0.232454
-0.513376, -0.846658, -0.140057
0.702907, -0.605052, 0.373943
-0.843912, -0.523491, -0.117349
-0.383614, -0.124644, -0.915043
0.646578, -0.749881, -0.140057
-0.358229, -0.717045, 0.597928
0.259892, -0.822619, -0.505721
-0.587785, 0.361803, -0.723607
-0.963861, 0.226617, -0.140057
-0.0823237, -0.566543, 0.819909
3.25867e-09, -0.273266, -0.961938
0.564254, -0.0967773, 0.819909
-0.702046, -0.501375, -0.505721
-0.792649, -0.119117, -0.597928
-0.809017, 0.262866, -0.525731
0.69378, 0.68164, -0.232454
0.133071, 0.449299, 0.883415
-0.951057, 0.309017, 0
-0.990439, 0.0725258, 0.117349
0.62024, 0.341154, 0.70634
-0.513375, 0.253366, -0.819909
-0.371748, -0.285273, 0.883415
-0.237086, -0.326321, 0.915043
-0.891006, 0.453991, 0
-0.453991, -0.39847, 0.79694
0.0810863, -0.111606, 0.990439
0.0823236, 0.566543, -0.819909
-0.69378, 0.512752, -0.505721
-0.702046, 0.228109, 0.674609
0.213023, 0.0692153, -0.974592
0.809017, 0.587785, 0
0.358229, 0.855476, -0.373943
4.80996e-09, -0.403355, -0.915043
0, 0, -1
0.516122, -0.484461, 0.70634
0.259892, -0.084444, -0.961938
0.864929, 0.366292, 0.343115
-0.0823237, -0.566543, 0.819909
0.425325, 0.138197, -0.894427
0.951057, -0.309017, 0
0.131655, -0.181208, -0.974592
-0.840178, 0.359465, -0.406061
0.0823236, 0.566543, -0.819909
3.04525e-08, 0.403355, 0.915043
-0.137952, -0.842518, 0.520705
0.843911, -0.129152, 0.520705
0.237086, -0.326321, 0.915043
0.399607, 0.550012, 0.733349
0.783843, -0.254686, -0.566326
0.757935, -0.637147, -0.139919
0.156434, 0.441708, -0.883415
-0.399607, 0.409955, 0.819909
1.02659e-07, 0.738175, 0.674609
-0.987688, 0.156434, 0
-0.433888, 0.870463, -0.232454
-0.916244, -0.066261, 0.395103
0.399607, 0.409955, 0.819909
0.266405, 0.506732, 0.819909
0.484442, -0.804729, 0.343115
0.924305, 0.0763391, 0.373943
0.840178, -0.359465, 0.406061
-0.16246, -0.67082, 0.723607
0.606825, -0.197169, -0.769992
-0.238677, -0.554905, 0.79694
0.912982, 0.296646, -0.280114
-0.262866, 0.638197, 0.723607
-0.783843, 0.254686, 0.566326
-0.0823237, -0.566543, 0.819909
-0.62024, 0.479201, 0.621023
0.220117, 0.75225, -0.621023
-0.606825, 0.600525, 0.520705
-0.69378, 0.512752, -0.505721
-0.264083, -0.737964, -0.621023
-0.259892, -0.822619, -0.505721
0.45399, 0.39847, -0.79694
-0.0823235, 0.566543, -0.819909
0.296005, -0.919948, -0.257056
-0.615642, 0.624147, -0.481067
