r, theta, phi
1, -1.5708, 0
1, -1.29401, 0.942478
1, -1.29401, -1.5708
1, -1.29401, -2.82743
1, -1.29401, 2.19911
1, -1.29401, -0.314159
1, -1.10715, 0.314159
1, -1.10715, 2.82743
1, -1.10715, -2.19911
1, -1.10715, -0.942478
1, -1.10715, 1.5708
1, -1.01722, 0.942478
1, -1.01722, -1.5708
1, -1.01722, -0.314159
1, -1.01722, -2.82743
1, -1.01722, 2.19911
1, -0.809014, 0.551765
1, -0.809014, -0.704872
1, -0.809014, -2.43672
1, -0.809014, 2.58983
1, -0.809014, 3.06504
1, -0.809014, -1.18008
1, -0.809014, 1.8084
1, -0.809014, -1.96151
1, -0.809014, 0.0765533
1, -0.809014, 1.33319
1, -0.740435, 0.942478
1, -0.740435, -0.314159
1, -0.740435, -2.82743
1, -0.740435, 2.19911
1, -0.740435, -1.5708
1, -0.553574, 0.314159
1, -0.553574, 2.82743
1, -0.553574, -0.942478
1, -0.553574, 1.5708
1, -0.530217, 0.636469
1, -0.530217, 2.50512
1, -0.530217, 1.89311
1, -0.530217, -1.26479
1, -0.530217, -0.620168
1, -0.530217, -2.52142
1, -0.530217, -0.00815057
1, -0.530217, -1.8768
1, -0.530217, -3.13344
1, -0.530217, 1.24849
1, -0.463648, 0.942478
1, -0.463648, 2.19911
1, -0.463648, -1.5708
1, -0.463648, -0.314159
1, -0.463648, -2.82743
1, -0.280039, 0.48402
1, -0.280039, -1.11234
1, -0.280039, -2.36898
1, -0.280039, 2.65757
1, -0.280039, 0.144299
1, -0.280039, -2.02925
1, -0.280039, -0.772617
1, -0.280039, 2.99729
1, -0.280039, 1.74066
1, -0.280039, 1.40094
1, -0.2346, -1.7367
1, -0.2346, 0.776572
1, -0.2346, -0.148253
1, -0.2346, 2.36502
1, -0.2346, 1.10838
1, -0.2346, -1.40489
1, -0.2346, -2.99334
1, -0.2346, -0.480065
1, -0.2346, 2.03321
1, -0.2346, -2.66153
1, 0, 0.628318
1, 0, -2.51327
1, 0, -1.5708
0, 0, 0
1, 0, 3.14159
1, 0, -1.88496
1, 0, -2.82743
1, 0, -0.314159
1, 0, 1.88496
1, 0, -2.19912
1, 0, -1.25664
1, 0, 2.82743
1, 0, -0.628319
1, 0, -5.25521e-08
1, 0, 1.5708
1, 0, 2.19911
1, 0, -0.942478
1, 0, 2.51327
1, 0, 0.314159
1, 0, 1.25664
1, 0, 0.942478
1, 0.2346, 0.480065
1, 0.2346, -2.36502
1, 0.2346, -1.10838
1, 0.2346, 1.40489
1, 0.2346, 1.7367
1, 0.2346, 2.99334
1, 0.2346, 0.148253
1, 0.2346, 2.66153
1, 0.2346, -0.776572
1, 0.2346, -2.03321
1, 0.280039, 0.772617
1, 0.280039, -2.65757
1, 0.280039, 1.11234
1, 0.280039, 2.36898
1, 0.280039, -0.144299
1, 0.280039, -0.48402
1, 0.280039, -1.40094
1, 0.280039, 2.02925
1, 0.280039, -1.74066
1, 0.280039, -2.99729
1, 0.463648, -0.942478
1, 0.463648, 0.314159
1, 0.463648, 1.5708
1, 0.463648, -2.19912
1, 0.463648, 2.82743
1, 0.530217, 3.13344
1, 0.530217, 0.620168
1, 0.530217, -2.50512
1, 0.530217, -0.636469
1, 0.530217, -1.24849
1, 0.530217, 2.52142
1, 0.530217, 0.00815046
1, 0.530217, 1.8768
1, 0.530217, 1.26479
1, 0.530217, -1.89311
1, 0.553574, -2.82743
1, 0.553574, -1.5708
1, 0.553574, -0.314159
1, 0.553574, 2.19911
1, 0.553574, 0.942478
1, 0.740435, 1.5708
1, 0.740435, 2.82743
1, 0.740435, -2.19912
1, 0.740435, -0.942478
1, 0.740435, 0.314159
1, 0.809014, 2.43672
1, 0.809014, 0.704872
1, 0.809014, -2.58983
1, 0.809014, -3.06504
1, 0.809014, -0.0765534
1, 0.809014, -0.551765
1, 0.809014, -1.8084
1, 0.809014, -1.33319
1, 0.809014, 1.96151
1, 0.809014, 1.18008
1, 1.01722, -2.19912
1, 1.01722, 1.5708
1, 1.01722, -0.942478
1, 1.01722, 0.314159
1, 1.01722, 2.82743
1, 1.10715, -0.314159
1, 1.10715, 0.942478
1, 1.10715, 2.19911
1, 1.10715, -2.82743
1, 1.10715, -1.5708
1, 1.29401, -2.19912
1, 1.29401, -0.942478
1, 1.29401, 0.314159
1, 1.29401, 1.5708
1, 1.29401, 2.82743
1, 1.5708, 0
